序号,运单号/文件夹,承运车辆,线路,承运商,状态,错误数,警告数,主要异常
1,WB20260621001,京A12345,朝阳疾控中心→海淀社区卫生中心,顺达冷链,通过,0,0,
2,WB20260621003,京A12345,朝阳疾控中心→通州接种点,顺达冷链,异常,2,1,[温度断点] 缺少 10:10 至 10:25 温度数据（间隔 15 分钟，预期 5 分钟）；[温度超限] 09:55 温度 8.3°C 高于上限 8.0°C；[箱码照片] 箱码 BX20260621003B 缺少箱码照片
3,WB20260621004_broken,-,-,-,加载失败（无法匹配筛选）,1,0,"waybill.json 解析失败：Expecting ',' delimiter: line 8 column 1 (char 203)"
4,WB20260621008_部分加载,京A12345,朝阳疾控中心→海淀社区卫生中心,顺达冷链,加载失败,1,0,trajectory.json 解析失败：Expecting property name enclosed in double quotes: line 1 column 2 (char 1)


=== 车辆分组小结 ===
承运车辆,承运商,当天运单数,通过,异常,其中加载失败,错误数,警告数,运输线路,主要问题
京A12345,顺达冷链,3,1,2,1,3,1,朝阳疾控中心→海淀社区卫生中心、朝阳疾控中心→通州接种点,加载失败 1 条，温度断点 1 条，温度超限 1 条，箱码照片 1 条
（未知车辆）,,1,0,1,1,1,0,,加载失败 1 条


=== 异常类型汇总 ===
异常类型,运单号,承运车辆,线路,疫苗品种,异常条数,异常详情
加载失败,WB20260621004_broken,未知,未知,未知,1,"waybill.json 解析失败：Expecting ',' delimiter: line 8 column 1 (char 203)"
加载失败,WB20260621008,京A12345,朝阳疾控中心→海淀社区卫生中心,新冠疫苗（灭活）,1,trajectory.json 解析失败：Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
温度断点,WB20260621003,京A12345,朝阳疾控中心→通州接种点,HPV疫苗（九价）、新冠疫苗（腺病毒载体）,1,缺少 10:10 至 10:25 温度数据（间隔 15 分钟，预期 5 分钟）
温度超限,WB20260621003,京A12345,朝阳疾控中心→通州接种点,HPV疫苗（九价）、新冠疫苗（腺病毒载体）,1,09:55 温度 8.3°C 高于上限 8.0°C
箱码照片,WB20260621003,京A12345,朝阳疾控中心→通州接种点,HPV疫苗（九价）、新冠疫苗（腺病毒载体）,1,箱码 BX20260621003B 缺少箱码照片


=== 补数据区域（无法匹配筛选条件） ===
文件夹名,失败原因,说明
WB20260621004_broken,"waybill.json 解析失败：Expecting ',' delimiter: line 8 column 1 (char 203)",waybill.json 无法读取，无法判断是否属于当前筛选条件
